DID,Name,Designation,Specialities,Branch
PDC-11,DR. AMIRUZZAMAN SUMON,"MBBS, FCPS (Medicine), Associate Professor, Department of Medicine, Sir Salimullah Medical College & Mitford Hospital, Dhaka.",Medicine,Dhanmondi
PDC-12,PROF. MD. MUJIBUR RAHMAN,"MBBS, MD, FACP (USA), FCPS, BSMMU",Medicine,Dhanmondi
PDC-13,PROF. DR. SANKAR NARAYAN DAS,"MBBS,FCPS,MD,FRCP(Glasgow,UK).Head of the Depertment of Medicine & Principal(Retd.).Mymensingh Medical College & Hospital,Mymensingh.",Medicine,Mymensingh
PDC-14,PROF. DR. SATYA RANJAN SUTRADHAR,"MBBS,MCPS,FCPS,MD,MACP(America).Professor & Head of the Department of Medicine(Retd.).Mymensingh Medical College & Hospital,Mymensingh.",Medicine,Mymensingh
PDC-15,PROF. DR. MD.TITU MIAH,"FCPS(Internal Medicine),WHO Fellow in Rheumatology.Medicine Specialist & Rheumatolagist.Professor,Medicine Department.Dhaka Medical College & Hospital,Dhaka",Medicine,Mymensingh
PDC-16,ASSO. PROF. DR. MD. KHURSHED ALAM,"MBBS,BCS(Health),MD(Medicine),MACP(Medicine).Associate Professor & Head Of The Department Of Medicine .Mymensingh Medical College & Hospital,Mymensingh",Medicine,Mymensingh
PDC-17,DR. SURAIYA AKHTER,"MBBS(DU),BCS(Health),MD(Medicine).Mymensingh Medical College & Hospital,Mymensingh.",Medicine,Mymensingh
PDC-18,DR. MAHAMMAD SELIM UDDIN,"MBBS(Gold Medalist),BCS(Health),MCPS,FCPS(Madicine),MACP(USA).Consultant,Medicine.Mymensingh Medical College & Hospital,Mymensingh",Medicine,Mymensingh
PDC-19,DR. MD. MOHIUDDIN KHAN MOON,"MBBS(Dhaka),BCS(Health),FCPS(Medicine),FCPS(Neurology),Thesis,MACP(America).Fellowship Training Neurology.Specialized Training in Cardiology & Respiratory Medicine. Senior Consultant, Mymensingh Medical College & Hospital,Mymensingh.",Medicine,Mymensingh
PDC-20,ASSO. PROF. DR. RAIHAN ROTAP KHAN,"MBBS(Dhaka), BCS(Health), FCPS(Medicine), Associate Professor (Medicine), Mymensingh Medical College & Hospital, Mymensingh.",Medicine,Mymensingh
PDC-21,DR. MD. MAHBUBUL ALAM,"MBBS(Dhaka),Gold Medalist, BCS(Health), MCPS(Medicine), FCPS(Medicine), MD(Haematology), MACP(America). Consultant (Medicine), Sheikh Russel National Gastroliver Institue & Hospital (SRNGIH.)",Medicine,Mymensingh
PDC-22,DR. MD. FAKRUZZAMAN,"MBBS(Dhaka),BCS(Health),FCPS(Medicine),FCPS(Hepatology-Thesis).Mymensingh Medical College & Hospital,Mymensingh.",Medicine,Mymensingh
PDC-23,PROF. DR. MD. ABUL KALAM AZAD,"MBBS, FCPS (Medicine), Gold Medalist, FRCP (Edin)",Medicine,Shantinagar
PDC-24,PROF. DR. M A KASHEM,"MBBS,MD,MCPS,FACP (DMC)",Medicine,Shantinagar
PDC-25,PROF. DR. ABU HENA MOSTAFA KAMAL,"MBBS,FCPS (Medicine) Professor & Head, Dept. of Medicine Holy Family Red Crescent Medical College",Medicine,Shantinagar
PDC-26,ASSO. PROF. DR. MD. MURAD HOSSAIN,"MBBS, FCPS (DMC)",Medicine,Shantinagar
PDC-27,PROF. DR. MOHAMMAD TANVIR ISLAM,"MBBS,FCPS (BSMMU)",Medicine,Shantinagar
PDC-28,PROF. DR. APARNA DAS,"MBBS,FCPS,MD,DEM (DMC)",Medicine,Shantinagar
PDC-29,ASSO. PROF. DR. A.K.M HUMAYUN KABIR,"MBBS,BCS,MCPS,FCPS (DMC)",Medicine,Shantinagar
PDC-30,PROF. DR. MD. ZAID HOSSAIN,"MBBS,MRCP (DMC)",Medicine,Shantinagar
PDC-31,DR. M.K SARKAR,MBBS (Consultant of Popular Diagnostic Centre),Medicine,Shantinagar
PDC-32,DR. MD. KAMAL HOSSAIN,,Medicine,Barisal
PDC-33,ASSO. PROF. DR. A. J. M. EMRUL KAYESH,,Medicine,Barisal
PDC-34,DR. SHAMIM AHMED,,"Cardiology, Medicine",Barisal
PDC-35,PROFESSOR DR. SAIYEEDUR RAHMAN,,"Medicine, Liver Medicine, Hepatology",Barisal
PDC-36,ASSO. PRO. DR. MURAD HOSSEN,,Medicine,Savar
PDC-37,DR.AHAMAD MUNJURUL AZIZ,,Medicine,Savar
PDC-38,ASST.PROF.DR.M.A MOTALIB,,Medicine,Savar
PDC-39,DR. HUMAIRA JESMIN (TRISHA),,Medicine,Savar
PDC-40,PROF. DR. MD. FAIZUL ISLAM CHOWDHURY,"MBBS, FCPS (Medicine), PhD(USA), Former Professor, Dhaka Medical College ,Dhaka",Medicine,Dhanmondi
PDC-41,DR. A.S.M. SOFIQUL ISLAM(MILON),"MBBS,BCS(Health),MD(Internal Medicine) ,MYMENSINGH MEDICAL COLLEGE & HOSPITAL.",Medicine,Mymensingh
PDC-42,DR. SAKHAWAT HOSEN (SUJON),"MBBS(Dhaka),BCS(Health),FCPS(Medicine),CCD(BIRDEM), Consultant (Respiratory Medicine), MMCH.",Medicine,Mymensingh
PDC-43,DR. MD. MURAD HOSSAIN,"MBBS(DMC), FCPS(Medicine), Medicine,Gestroliver, Diabetics, Hormon, Chest Medicine, Internal Medicine. Associate Prof. Dhaka Medical college.",Medicine,Dhanmondi
PDC-44,PROF. DR. SHEIKH ABDUL FATTAH,"MBBS. DTCT. FCPS(Medicine), Medicine & Chest Specialist , Ex-Prof. & Head Shaheed Tajuddin Ahmad Medical College & Hospital. Gazipur.",Medicine,Gazipur
PDC-45,ASSO. PROF. DR. MOSTAFIZUR RAHMAN,"MBBS,BCS(Health), FCPS(Medicine), CCD(BIRDEM), Medicine & Diabetic Specialist , Member Of American College Of Physician. Shaheed Tajuddin Ahmed Medical College & Hospital Gazipur.",Medicine,Gazipur
PDC-46,DR. MAMUNOOR RASHID,"MBBS,BCS(Health), FCPS(Medicine),MD(Cardiology), Resident Medicine Specialist, (Ex)National Institute of Cardiovascular Diseasas(NICVD). Mugda Medical College, Dhaka.",Medicine,Gazipur
PDC-47,DR. PRANAB KUMAR MALLIK,"MBBS, BCS(Health), MCPS(Medicine), FCPS(Medicine), Member of American College of Physician(MACP) Medicine Specialist_Kurmitola General Hospital, Dhaka.",Medicine,Gazipur
PDC-48,DR. SAAD AHMED TANMOY,"MBBS(DMC), BCS(Health), FCPS(Medicine), Medicine Specialist, Dhaka Medical College & Hospital, Dhaka.",Medicine,Gazipur
PDC-49,DR. MD. MOHIUDDIN ROZAIK,,Medicine,Gazipur
PDC-50,DR. ASHRAF UR RAHMAN (TAMAL),"MBBS(DMC), MCPS(Medicine), FCPS(Medicine), MD(Cardiology), NICVD, Dhaka","Medicine, Cardiology",Badda
PDC-51,ASSOT. PROF. DR. AHSANUL HAQUE KAWSAR,,Medicine,Badda
PDC-52,DR. SUBRATA PODDAR CHOYON,,Medicine,Badda
PDC-53,PROF. DR. MD. MAHBUBUR RAHMAN KHAN,"MBBS, MCPS (Medicine), MD (Internal Medicine), BSMMU, Dhaka,Professor & Head (Department of Medicine), Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-54,PROF. DR. MOHAMMAD HASAN TARIK,"MBBS, FCPS (Medicine), Professor, Department of Medicine, Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-55,PROF. DR. MD. KHALILUR RAHMAN,"MBBS, FCPS (Medicine), MACP (America), Professor & Head (Department of Medicine),(Ex) ,Rajshahi Medical College & Hospital.",Medicine,Rajshahi
PDC-56,PROF. DR. MD. ZAHIRUL HAQUE,"MBBS (DMC), FCPS (Medicine), Professor, Department of Medicine , Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-57,PROF. DR. MD. NURE-ALAM SIDDIQUI,"MBBS, BCS (Health), FCPS (Medicine), MD (Internal Medicine), BSMMU, Professor, Department of Medicine, Rajshahi Medical College & Hospital","Medicine, Rheumatology Medicine",Rajshahi
PDC-58,DR. BOLAI CHONDRO SARKER (EVENING),"MBBS (DMC), MCPS (Medicine), FCPS (Medicine), General Practitioner, General Practice Division, Popular Diagnostic Centre Limited",Medicine,Rajshahi
PDC-59,ASSOC. PROF. DR. PRABIR MOHAN BASAK,"MBBS, BCS (Health), FCPS (Medicine), MRCP (UK), MRCP, SCE (Rheumatology),UK, Associate Professor, Department of Medicine, Rajshahi Medical College & Hospital","Medicine, Rheumatology Medicine",Rajshahi
PDC-60,ASSTT. PROF. DR. MD. MOHAIMANUL HAQUE (ATIQUE),"MBBS, BCS (Health), FCPS (Medicine), MACP (America), Assistant Professor, MBBS, BCS (Health), FCPS (Medicine), MACP (America)Department Of Medicine, Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-61,DR. MD. MOTIUR RAHMAN,"MBBS (Raj), FCPS (Medicine), DEM (BIRDEM), Diabetologist & Endocrinologist Register (Med. Unit-2) Rajshahi Medical College & Hospital","Medicine, Endocrine Medicine",Rajshahi
PDC-62,DR. MD. ABDUL BASET,"MBBS, FCPS (Medicine),Consultant. Departmant of Medicine, Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-63,PROFESSOR DR. MD. BILLAL ALAM,"MBBS, FCPS (Medicine), MD (Internal Medicine), FACP, FRCP, Professor & Head Of The Department (Medicine),Dhaka Medical College & Hospital,Dhaka",Medicine,Shyamoli
PDC-64,ASSOT. PROF.DR.SHAHABUL HUDA CHOWDHURY,"MBBS, MCPS, FCPS (Medicine), Gold Medalist, Assot. Professor. Head Of The Department (Medicine), Dhaka Dental College,Mirpur-14,Dhaka.",Medicine,Shyamoli
PDC-65,PROF. DR. TAZIN AFROSE SHAH,"MBBS, FCPS (Medicine), FRCP( Edin ), FACP (USA ) Medicine & Diabetic Specialist Professor, Uttara Adhun Hospital, Uttara, Dhaka",Medicine,Shyamoli
PDC-66,ASSOT. PROF.DR. MD. RASHEDUL ISLAM,"MBBS, FCPS (Medicine), FCPS (Neurology) MRCP(UK), FACP (USA), Associate. Professor (Neurology) BIRDEM Hospital,Shabag Dhaka","Neurology, Medicine",Shyamoli
PDC-67,PROF. DR. GOBINDA CHANDRA ROY,"MBBS, FCPS (Medicine), MD (Cardiology), Professor, Department of Medicine Shaheed Suhrawardy Medical College & Hospital, Dhaka-1207",Medicine,Shyamoli
PDC-68,PROF. DR. SHYMAL SARKER,,Medicine,English road
PDC-69,ASSO.PROF. DR. DURBA HALDER,,Medicine,English road
PDC-70,ASSO.PROFF. DR. S.A. KHAN NOMAN,MBBS.FCPS( Medicine),Medicine,English road
PDC-71,DR. TOMIZ CHOWDHURY,,Medicine,English road
PDC-72,DR.GOPAL CHANDRA MAJUMDAR,,Medicine,English road
PDC-73,PROF. DR. MOHAMMAD HYDER ALI,,Medicine,Uttara
PDC-74,PROF. DR. GABINDA CHANDRA ROY,Professor,Medicine,Uttara
PDC-75,PROF. DR. MARUF BIN HABIB,,Medicine,Uttara
PDC-76,PROF. BRIG. GEN. DR. AFM SHAMSUL HAQUE,,Medicine,Uttara
PDC-77,PROF. DR. (MAJ. GEN.) S M MOTAHAR HOSSAIN,"MBBS, FCPS (Medi), MCPS (Medi), Fellow in Gastro Liver Disease (TURKEY)",Medicine,Uttara
PDC-78,BRIG. GEN. RETD. DR. MD. SAIDUR RAHMAN,,Medicine,Uttara
PDC-79,ASSO. PROF. DR. MD. MAHBUBOR RAHMAN(EVENING),,Medicine,Uttara
PDC-80,ASST. PROF. DR. MD. UZZWAL MALLIK,Assistant Professor,Medicine,Uttara
PDC-81,ASST. PROF. DR. HASAN HAFIZUR RAHMAN,,Medicine,Uttara
PDC-82,ASSO. PROF. DR. HASAN IMAM,,Medicine,Uttara
PDC-83,ASST. PROF DR. MD. ANARUL ISLAM,"MBBS, MRCP (UK), DTCD (BSMMU).",Medicine,Uttara
PDC-84,PROF. DR. MOINUDDIN AHMED,,Medicine,Uttara
PDC-85,PROF DR. MOHAMMAD HYDER ALI,,Medicine,Uttara (U-2)
PDC-86,PROF DR SHAFAYAT HASAN MAJUMDER,,Medicine,Uttara (U-2)
PDC-87,ASSO PROF DR. GABINDA CHANDRA ROY,,Medicine,Uttara (U-2)
PDC-88,ASSO PROF DR. MARUF BIN HABIB,,Medicine,Uttara (U-2)
PDC-89,PROF. DR. AFM SAMSUL HAQUE,,Medicine,Uttara (U-2)
PDC-90,PROF DR. (MAJ. GEN.) S M MOTAHAR HOSSEN,,Medicine,Uttara (U-2)
PDC-91,BRIG. GEN. RET. DR. MD SAIDUR RAHMAN,,Medicine,Uttara (U-2)
PDC-92,ASST. PROF. DR. MD. MAHBUBUR RAHMAN,,Medicine,Uttara (U-2)
PDC-93,ASST. PROF. DR. UZZAL MALLIK,,Medicine,Uttara (U-2)
PDC-94,ASST. PROF. DR. HASAN HAFIZUR RAHMAN,,Medicine,Uttara (U-2)
PDC-95,ASST PROF DR. HASAN IMAM,,Medicine,Uttara (U-2)
PDC-96,ASST PROF DR. ANARUL ISLAM,,Medicine,Uttara (U-2)
PDC-97,DR. NANDITA PAUL,,Medicine,Uttara (U-2)
PDC-98,DR.M.S ALOM,,Medicine,Savar
PDC-99,PROF. DR. MD. MOSTAFIZUR RAHMAN,"MBBS, FCPS, FRCP, FCCP(USA) ANOWAR KHAN MODERN MEDICAL COLLEGE & HOSPITAL DHANMONDI,DHAKA",Medicine,Narayangonj
PDC-100,PROF. DR. SK. MD. ABU ZAFAR,"MBBS, FCPS(MED),FCCP,FACP(USA).Current Posting: Sir Salimullah Medical College(Midford Hospital)(Retd)",Medicine,Narayangonj
PDC-101,ASSO. PROF. DR. A.K.M HUMAYAN KABIR,MBBS(D.M.C)MCPS(Medicine)FCPS (Medicine). Dhaka Medical College Hospital,Medicine,Narayangonj
PDC-102,ASST. PROF. DR. MOHAMMAD ARIFUL ISLAM,"MBBS(D.M.C) BCS(Health)MD(Internal Medicine). National Institute of Cancer Research & Hospital(NICRH). Mohakhali, Dhaka.",Medicine,Narayangonj
PDC-103,ASST. PROF. DR. NUR FAYSAL AHMMED,"MBBS,FCPS(Medicine). Mugda Medical & Hospital, Dhaka.",Medicine,Narayangonj
PDC-104,PROF. DR. SANJAY KUMAR SAHA (MORNING),"MBBS, FCPS (Medicine). Bashundhara Ad-din Medicla College Hospital",Medicine,Narayangonj
PDC-105,ASST. PROF. DR. DILRUBA ALAM,"MBBS,CCD(Birdem),FCPS (Medicine).Current Posting: BIRDEM General Hospital,Dhaka.",Medicine,Narayangonj
PDC-106,ASST. PROF. DR. A.H.M. WALIUR RAHMAN SUMON,"MBBS,BCS(Health),FCPS(Medicine). Sir Salimullah Medical College(Midford Hospital)",Medicine,Narayangonj
PDC-107,ASST. PROF. DR. P.K DATTA (PANKAJ),"MBBS(D.M.C),BCS(Health),FCPS(Medicine) Dhaka Medical College Hospital",Medicine,Narayangonj
PDC-108,DIETICIAN N A KONKA,"BSC(Hons),MSC(Food&Nutrition)",Medicine,English road
PDC-109,PROF. DR. MD. ZAKIR HOSSAIN,Professor,Medicine,Bogura
PDC-110,PROF. DR. MD. RAFIQUL ISLAM,,Medicine,Bogura
PDC-111,PROF. DR. MD. HALIMUR RASHID,,Medicine,Bogura
PDC-112,PROF. DR. MD. ABDUS SALAM,,Medicine,Bogura
PDC-113,ASSOC. PROF. DR. MD. KAMAL HOSSAIN,,Medicine,Bogura
PDC-114,ASSOC. PROF. DR.MD. MONIRUZZAMAN ASRAF (BIPUL),,Medicine,Bogura
PDC-115,ASSOC. PROF. DR. ABU BAKAR SIDDIQUE,,Medicine,Bogura
PDC-116,ASSTT. PROF. DR.MD AMINUL HASAN,,Medicine,Bogura
PDC-117,DR. MD. AZMIRUL HAQ SARKER,,Medicine,Bogura
PDC-118,DR. MD. FARUK HOSSAIN,,Medicine,Bogura
PDC-119,DR. RIPA KUNDU,,Medicine,Bogura
PDC-120,PROF. DR. MD. ZAKIR HOSSAIN,,Medicine,Bogra (U-2)
PDC-121,PROF. DR. MD. RAFIQUL ISLAM,,Medicine,Bogra (U-2)
PDC-122,PROF. DR. A.K.M. MASUDUR RAHMAN,,Medicine,Bogra (U-2)
PDC-123,ASSOC. PROF. DR. MD. HALIMUR RASHID,,Medicine,Bogra (U-2)
PDC-124,ASSOC. PROF. DR. MD. ABDUS SALAM,,Medicine,Bogra (U-2)
PDC-125,ASSTT. PROF. DR. MD. KAMAL HOSSAIN,,Medicine,Bogra (U-2)
PDC-126,ASST. PROF. DR. MONIRUZZAMAN ASHRAF (BIPUL),,Medicine,Bogra (U-2)
PDC-127,ASSTT. PROF. DR. ABU BAKOR SIDDIQUE,,Medicine,Bogra (U-2)
PDC-128,ASSTT. PROF. DR.MD AMINUL HASAN,,Medicine,Bogra (U-2)
PDC-129,DR. MD. AZMIRUL HAQ SARKER,,Medicine,Bogra (U-2)
PDC-130,DR. MD. FARUK HOSSAIN,,Medicine,Bogra (U-2)
PDC-131,DR. RIPA KUNDRO,,Medicine,Bogra (U-2)
PDC-132,DR. MD. ZAKIRUL ISLAM (JEWEL),,Medicine,Bogra (U-2)
PDC-133,PROF. DR. AHMED HOSSAIN,,Medicine,Mirpur
PDC-134,PROF. DR. A K M MOTIUR RAHMAN BHUIYAN,,Medicine,Mirpur
PDC-135,PROF. DR. BRIG. GEN. AMZAD HOSSIEN FAKIR,,"Medicine, Nephrology/Kidney Medicine",Mirpur
PDC-136,PROF. DR. MD. FAIZUL ISLAM CHOWDHURY,,Medicine,Mirpur
PDC-137,ASSO. PROF. DR. ABED HUSSAIN KHAN,,Medicine,Mirpur
PDC-138,ASST. PROF. DR. MUNTASIR HASNAIN,,Medicine,Mirpur
PDC-139,DR A.S.M. MUSA KOBIR ( MORNING ),,Medicine,Kushtia
PDC-140,DR. MOHAMMAD AL- MAMUN,"MBBS(Dhaka),MD(Medicine),D-Card(Cardiology),FCPS(Cardiology, Thesis).Consultant, BSMMU(PG Hospital).","Medicine, Rheumatology Medicine, Diabetologist, Cardiology",Badda
PDC-141,DR. BOLAI CHONDRO SARKER (MORNING),"MBBS (DMC), MCPS (Medicine), FCPS (Medicine) , General Practitioner, General Practice Division, Popular Diagnostic Centre Limited",Medicine,Rajshahi
PDC-142,DR. HIRONMOY BARMAN (SAGAR),,Medicine,Kurigram
PDC-143,DR. MS ALAM,"MBBS, BCS (Health), FCPS (Medicine), MACP (USA), CCD (BIRDEM), EDC 9BIRDEM), Dhaka Medical College, Dhaka",Medicine,Dhanmondi
PDC-144,ASSOC. PROF. DR. ABU SHAHIN,"MBBS, FCPS, (Medicine), FACP, MRCP (UK) , Associate Professor, Department of Medicine , Rajshahi Medical Collage & Hospital",Medicine,Rajshahi
PDC-145,ASST. PROF. DR. ZAHIDUL HASAN,,Medicine,English road
PDC-146,PROF. DR. AMARESH CHANDRA SAHA,"Professor, Rpmch",Medicine,Rangpur
PDC-147,PROF. DR. SHAH MD. SARWAR JAHAN,Professor,Medicine,Rangpur
PDC-148,ASST. PROF. DR. A S M RAHENUR MONDOL APPLE,Assistant Professor,"Medicine, Diabetologist",Rangpur
PDC-149,ASST. PROF. DR. PRIOBRATA KARMOKER,Assistant Professor,Medicine,Rangpur
PDC-150,PROF. DR. DEVENDRA NATH SARKAR,Professor & Head Of Department,Medicine,Rangpur
PDC-151,ASST. PROF. DR. HELAL MIA,Assistant Professor,Medicine,Rangpur
PDC-152,ASSO. PROF. DR. SAZZAD HOSSIN,,Medicine,Gazipur
PDC-153,DR. SAYED MAHBUB HOSSAIN ( RAJIB ),,", Medicine",Bogura
PDC-154,PROF. DR. KAZI MD. JAHANGIR,"MBBS, FCPS, FACP, FRCP (Edin) - Professor & Head,(Rtd) Dept. of Medicine - Rangpur Medical College & Hospital.",Medicine,Dhanmondi
PDC-155,PROF. MD. MIZANUR RAHMAN,,Medicine,Gazipur
PDC-156,DR. SHAYEKH ABDULLAH,"MBBS, BCS, FCPS(Medicine).Dhaka Medical College Hospital",Medicine,Narayangonj
PDC-157,DR. MD. SAMSUDDOHA SARKAR SANCHAY,"MBBS, BCS(Health), FCPS(Medicine), MACP(USA), CCD (Birdem) Gold Medalist. Dhaka Medical College Hospital",Medicine,Narayangonj
PDC-158,DR. MD SAYED ULLAH,"MBBS, FCPS (Medicine), CCD (Birdem) D-Card (BSMMU) Medicine & Cardiology Specialist, Consultant (Medicine) DNCC Covid-19 Hospital Mohakhali, Dhaka. Ex: Birdem General Hospital, Dhaka.",Medicine,Noakhali
PDC-159,DR. SAYED ULLAH,"MBBS, FCPS(Medicine),CCD(Birdem), Diploma in Cardiology, MRCP(UK) (Retd.)",Medicine,Narayangonj
PDC-160,ASSO. PROF. DR. MD. MAHBUBOR RAHMAN(NIGHT),,Medicine,Uttara
PDC-161,PROF. DR. AHM KHAIRUL IMAM,"MBBS, FCPS (Medicine), MRCP (UK), Medicine Specialist, Professor & Head, Dept. of Medicine (Ad-Din Medical College & Hospital,Moghbazar,Dhaka)",Medicine,Shantinagar
PDC-162,PROF. DR. SM HAFIZ,"MBBS (DMC), FCPS(Internal Medicine), Professor & Department Head, DMC",Medicine,Dhanmondi
PDC-163,DR. SHADLY TAUSIF AMIM,"MMBS(Dhaka), BCS(Health), MRCP(Medicine), London,UK, MD(Cardoilogy), National Insitute of Cardiovascular Diseases(NICVD)","Medicine, Cardiology",Mymensingh
PDC-164,PROF.DR. KHAN ABUL KALAM AZAD,,Medicine,Bogura
PDC-165,PROFESSOR. DR. SAKI MD. JAKIUL ALAM,Professor,Medicine,Dinajpur
PDC-166,ASSOC. PROF. DR. MD. SARWARUL ISLAM (MUKTA),Associate Professor,Medicine,Dinajpur
PDC-167,ASSTT. PROF. DR. MD. MONJUR-E-ELAHI (SHOHAG),Assistant Professor,Medicine,Dinajpur
PDC-168,DR. MD. SHAMIM,,Medicine,Dinajpur
PDC-169,PROF. DR. MD. ZAHIR UDDIN,"MBBS, FCPS (Medicine), MD (Internal Medicine), FACP (USA), FRCP (Glasgow, UK) ,Popular Medical College & Hospital, Ex- Prof. & Department of Medicine, SSMC & Mitford Hospital",Medicine,Dhanmondi
PDC-170,ASST. PROF. DR. MIRZA GOLAM SARWAR (MOON),"MBBS, BCS (Health),FCPS (Medicine),MD (Haematology), Platelet, Blood Disease & Medicine Specialist, Assistant Professor & Head of the Department National Institute of ENT & Hospital Tejgaon,Dhaka.","Medicine, Haematology",Shyamoli
PDC-171,ASSTT. PROF. DR. ASHOKE SORKAR,"MBBS, BCS (Health), MD (Internal Medicine), Asstt Professor, Department of Medicine , Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-172,DR. MRS. WAHIDA PERVIN RANI,"MBBS, FCPS (Medicine), MRCP(America), Consultant, Medicine, Rajshahi Medical College & Hospital ,Rajshahi",Medicine,Rajshahi
PDC-173,DR. KRISHNAPADA BANIK,"MBBS , BCS- (Health), FCPS (Medicine,) CCD (Bardem). Dhaka Medical College Hospital",Medicine,Narayangonj
PDC-174,PROF. DR. MD. ARIF AKBAR SHOYBAL,"MBBS,MD,(Internal Medicine)FACP,(USA)Professor & Head of The Deptartment of Medicine,Specialist In Medicine,Eastern Medical College & Hospital,Comilla",Medicine,Shyamoli
PDC-175,PRO.DR.SHYMOL SARKER (MORNING),"MBBS,FCPS",Medicine,English road
PDC-176,ASST. PROF. DR. FOYSAL AHAMED,"MBBS, BCS(Health), FCPS (Medicine), FACP, Advanced training in Gastroenterology, Psychiatry, Rheumatology, Asthma, & Diabetes. Assistant Professor, Department Of Medicine, Mymensingh Medical College & Hospital, Mymensingh",Medicine,Mymensingh
PDC-177,DR. FARHANA RAHMAN,,Medicine,Badda
PDC-178,ASST. PROF. DR. ABDULLAH AL-MASUM,,Medicine,Gazipur
PDC-179,ASST. PROF. DR. MD. JAHANGIR KABIR POLASH,Assistant Professor,Medicine,Rangpur
PDC-180,DR. MD. KHAIRUL ISLAM (SHIMON),,Medicine,Kushtia
PDC-181,DR. MD. MIZANUR RAHMAN TITU,"MBBS, BCS(Health), FCPS(Medicine), CCD(Birdem), Medicine & Diabetes Specialist, Dhaka Medical College & Hospital, Dhaka. BMDC-46049",Medicine,Gazipur
PDC-182,DR.BHABANANDA BARAI (SHUVO),,Medicine,English road
PDC-183,DR.ABDULLAH AL NOMAN,,Medicine,English road
PDC-184,PROF. DR. BRIG. GEN. NAZIMUDDIN,,Medicine,Mirpur
PDC-185,ASSOT. PROF. DR. ABUL KALAM AZAD,Assot. Professor,Medicine,Rangpur
PDC-186,PROF. DR. ISMAIL HOSEN,,Medicine,Gazipur
PDC-187,DR. MD. AMINUL ISLAM ( COTTON ),"MBBS, BCS(Health), MCPS (Medicine), FCPS (Medicine),Consultant. Dept. of Medicine, Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-188,DR. PRANAB PAUL,"MBBS (MMC), BCS (Health), FCPS (Medicine), MRCP-UK (London), Consultant ( Medicine) MMCH.",Medicine,Mymensingh
PDC-189,DR.BISHWAJIT SAHA,,Medicine,Savar
PDC-190,DR. QUAZI SHIHAB UDDIN IBRAHIM,"MBBS(DMC), FCPS(Medicine), MRCP(London-PACES),BCS(Health), CCD(BIRDEM), CCCD(Heart Foundation)(Medicine and Diabetes Specialist) Current Posting-Dhaka Medical College Hospital",Medicine,Narayangonj
PDC-191,ASST. PROF. DR. BILAS RANJAN DAS,MBBS.BCS (Health).MACP (America).MD (Medicine).FCPS (Medicine).Assistant Prof. ( Medicine) MMCH.,Medicine,Mymensingh
PDC-192,DR. MOHAMMAD KAISAR HASAN KHAN (IMRAN),"BCS(Health), FCPS(Medicine), Rheumatology. ( R P), Mymensing Medical College & Hospital,",Medicine,Mymensingh
